transaction_date,description,amount
2026-01-01,IRCTC TRAIN TICKET,3364
2026-06-04,WATER BILL PAYMENT,2320
2026-02-27,AMAZON PRIME,542
2026-08-05,PVR CINEMAS,1620
2026-05-10,ACT FIBERNET,981
2026-06-15,HP FUEL STATION,1015
2026-06-29,SPOTIFY SUBSCRIPTION,695
2026-04-06,COURSERA COURSE,3281
2026-08-20,TATA 1MG,3485
2026-05-16,WATER BILL PAYMENT,2309
2026-07-04,INDIGO AIRLINES,12053
2026-07-05,STEAM GAMES,1806
2026-02-02,COURSERA COURSE,838
2026-05-27,BLINKIT GROCERIES,3766
2026-06-09,DMART GROCERIES,4004
2026-06-18,MAKEMYTRIP,3335
2026-03-05,AIR INDIA TICKET,2782
2026-05-05,OLA RIDE,872
2026-02-08,MAKEMYTRIP,11410
2026-05-16,BOOKMYSHOW,1150
2026-03-03,TATA 1MG,4574
2026-02-06,METRO CARD RECHARGE,1234
2026-03-17,BOOKSTORE PURCHASE,5008
2026-01-27,JIO MOBILE BILL,2260
2026-07-25,BOOKMYSHOW,967
2026-01-27,BOOKING HOTEL,11668
2026-07-28,PHARMACY PURCHASE,3480
2026-08-02,PVR CINEMAS,997
2026-06-29,BIGBASKET,2741
2026-07-30,NETFLIX SUBSCRIPTION,618
2026-07-26,GOOGLE ONE STORAGE,690
2026-07-11,BIGBASKET,408
2026-05-12,SPOTIFY SUBSCRIPTION,119
2026-08-25,ONLINE LEARNING,5879
2026-01-18,SPOTIFY SUBSCRIPTION,1049
2026-02-19,ACT FIBERNET,771
2026-02-25,MAKEMYTRIP,3938
2026-03-24,AMAZON PRIME,831
2026-08-09,HP FUEL STATION,1752
2026-07-14,GOOGLE ONE STORAGE,130
2026-04-18,STARBUCKS,287
2026-07-19,STARBUCKS,1524
2026-04-12,ARCADE ENTERTAINMENT,472
2026-07-04,AJIO SHOPPING,353
2026-04-08,OLA RIDE,986
2026-02-22,UDEMY COURSE,362
2026-06-05,NATURES BASKET,3659
2026-05-16,SWIGGY FOOD ORDER,1648
2026-07-31,METRO CARD RECHARGE,734
2026-04-29,EDUCATIONAL MATERIAL,3449
2026-06-22,HP FUEL STATION,1523
2026-01-02,ONLINE LEARNING,4207
2026-06-22,MUSIC CONCERT,371
2026-08-06,METRO CARD RECHARGE,1291
2026-07-14,BIGBASKET,1056
2026-08-02,DECATHLON,890
2026-07-01,AMAZON SHOPPING,4359
2026-03-25,DOMINOS PIZZA,896
2026-03-10,GOOGLE ONE STORAGE,130
2026-07-22,RELIANCE SMART,1560
2026-05-16,ARCADE ENTERTAINMENT,2067
2026-02-13,PVR CINEMAS,1480
2026-07-26,ACT FIBERNET,1176
2026-03-07,BIGBASKET,1807
2026-03-31,TATA 1MG,1086
2026-02-26,JIO MOBILE BILL,1693
2026-08-08,MUSIC CONCERT,230
2026-08-26,WATER BILL PAYMENT,1545
2026-01-30,COURSERA COURSE,3782
2026-03-25,AMAZON SHOPPING,5135
2026-03-27,BESCOM ELECTRICITY,1157
2026-03-12,NETFLIX SUBSCRIPTION,964
2026-01-10,JIO MOBILE BILL,1337
2026-01-30,DOMINOS PIZZA,1098
2026-05-15,BIGBASKET,1066
2026-02-14,RELIANCE SMART,2214
2026-05-30,NETFLIX SUBSCRIPTION,251
2026-02-25,AIRTEL MOBILE BILL,1767
2026-06-05,BLINKIT GROCERIES,4408
2026-04-11,SPOTIFY SUBSCRIPTION,119
2026-05-08,STARBUCKS,1646
2026-08-08,NETFLIX SUBSCRIPTION,649
2026-01-05,INDIAN OIL FUEL,703
2026-08-12,AMAZON SHOPPING,6567
2026-06-21,MAKEMYTRIP,5362
2026-03-13,METRO CARD RECHARGE,712
2026-08-14,EDUCATIONAL MATERIAL,6413
2026-05-06,MUSIC CONCERT,592
2026-08-10,EDUCATIONAL MATERIAL,2947
2026-08-07,AMAZON PRIME,299
2026-03-31,BESCOM ELECTRICITY,1641
2026-04-30,ARCADE ENTERTAINMENT,1469
2026-01-25,NETFLIX SUBSCRIPTION,824
2026-06-20,ONLINE LEARNING,4616
2026-05-22,AIRTEL MOBILE BILL,473
2026-04-29,IRCTC TRAIN TICKET,5885
2026-02-02,MYNTRA FASHION,1158
2026-05-06,AMAZON PRIME,299
2026-03-03,JIO MOBILE BILL,487
2026-03-14,TATA 1MG,894
2026-02-22,CLINIC CONSULTATION,622
2026-07-04,UBER TRIP,534
2026-04-23,COURSERA COURSE,6207
2026-05-27,MCDONALDS,1778
2026-02-02,AJIO SHOPPING,906
2026-08-26,ONLINE LEARNING,2035
2026-07-22,RAPIDO RIDE,1653
2026-08-26,ACT FIBERNET,786
2026-07-29,UDEMY COURSE,6671
2026-06-07,AIRTEL MOBILE BILL,619
2026-08-07,SPOTIFY SUBSCRIPTION,1447
2026-05-17,FLIPKART ORDER,6529
2026-06-09,AJIO SHOPPING,2391
2026-01-24,SPOTIFY SUBSCRIPTION,1227
2026-05-06,EDUCATIONAL MATERIAL,5706
2026-05-17,UDEMY COURSE,3144
2026-03-05,DMART GROCERIES,504
2026-06-23,MCDONALDS,866
2026-03-08,RAPIDO RIDE,1673
2026-07-09,MYNTRA FASHION,2947
2026-07-30,ACT FIBERNET,1810
2026-03-22,BLINKIT GROCERIES,3746
2026-03-20,AMAZON PRIME,703
2026-04-15,APOLLO PHARMACY,1380
2026-03-18,DOMINOS PIZZA,1606
2026-05-13,ACT FIBERNET,291
2026-07-25,PHARMACY PURCHASE,2974
2026-05-18,PVR CINEMAS,1233
2026-05-05,WATER BILL PAYMENT,1986
2026-01-15,RAPIDO RIDE,485
2026-07-11,EDUCATIONAL MATERIAL,799
2026-02-08,UDEMY COURSE,1542
2026-04-27,METRO CARD RECHARGE,899
2026-06-14,BOOKING HOTEL,8304
2026-07-10,AIR INDIA TICKET,3407
2026-01-01,ZOMATO FOOD ORDER,896
2026-08-19,STEAM GAMES,1944
2026-01-08,ONLINE LEARNING,3055
2026-01-24,CLINIC CONSULTATION,341
2026-08-07,CLINIC CONSULTATION,2134
2026-02-10,LOCAL RESTAURANT,1770
2026-03-28,METRO CARD RECHARGE,709
2026-02-03,INDIAN OIL FUEL,583
2026-02-05,INDIAN OIL FUEL,958
2026-08-19,PHARMACY PURCHASE,276
2026-07-24,FLIPKART ORDER,2962
2026-07-10,RAPIDO RIDE,284
2026-07-09,NETFLIX SUBSCRIPTION,649
2026-03-11,NATURES BASKET,1523
2026-05-16,AMAZON PRIME,1372
2026-07-10,ARCADE ENTERTAINMENT,615
2026-01-24,RAPIDO RIDE,249
2026-05-14,CLINIC CONSULTATION,4493
2026-03-17,AIRTEL MOBILE BILL,1045
2026-06-02,PHARMACY PURCHASE,4497
2026-05-11,SPOTIFY SUBSCRIPTION,432
2026-04-19,SWIGGY FOOD ORDER,1419
2026-04-07,GOOGLE ONE STORAGE,1261
2026-08-05,SWIGGY FOOD ORDER,1100
2026-03-26,AMAZON PRIME,1276
2026-06-19,NATURES BASKET,559
2026-03-21,HP FUEL STATION,364
2026-05-05,PHARMACY PURCHASE,1689
2026-02-19,NATURES BASKET,4427
2026-07-17,AMAZON SHOPPING,4826
2026-06-19,CLINIC CONSULTATION,3362
2026-01-31,BESCOM ELECTRICITY,1593
2026-07-14,CLINIC CONSULTATION,4818
2026-02-23,NETFLIX SUBSCRIPTION,881
2026-03-26,EDUCATIONAL MATERIAL,4901
2026-05-19,STEAM GAMES,2199
2026-07-28,AMAZON PRIME,1403
2026-03-04,EDUCATIONAL MATERIAL,4172
2026-08-02,AJIO SHOPPING,1922
2026-04-16,RELIANCE SMART,2951
2026-06-23,PVR CINEMAS,1310
2026-06-28,COURSERA COURSE,6184
2026-01-30,YOUTUBE PREMIUM,811
2026-04-04,APOLLO PHARMACY,4947
2026-03-21,BOOKMYSHOW,497
2026-03-07,METRO CARD RECHARGE,1346
2026-04-23,MYNTRA FASHION,5028
2026-04-05,PHARMACY PURCHASE,1532
2026-06-21,WATER BILL PAYMENT,786
2026-04-27,WATER BILL PAYMENT,1274
2026-08-27,RELIANCE SMART,4332
2026-07-15,EDUCATIONAL MATERIAL,469
2026-08-14,GOOGLE ONE STORAGE,130
2026-08-22,AIRTEL MOBILE BILL,1114
2026-08-16,MYNTRA FASHION,2191
2026-08-22,JIO MOBILE BILL,1302
2026-07-25,BOOKMYSHOW,870
2026-05-01,MUSIC CONCERT,523
2026-04-27,CLINIC CONSULTATION,2196
2026-06-22,AMAZON SHOPPING,1413
2026-07-24,SUBWAY,1366
2026-05-24,DIAGNOSTIC LAB,3703
2026-08-30,SWIGGY FOOD ORDER,274
2026-04-09,ARCADE ENTERTAINMENT,410
2026-02-07,RAPIDO RIDE,1625
2026-07-15,BOOKING HOTEL,2682
2026-06-22,BIGBASKET,3269
2026-07-22,GOOGLE ONE STORAGE,256
2026-08-09,APOLLO PHARMACY,585
2026-07-03,ACT FIBERNET,1112
2026-02-15,AJIO SHOPPING,706
2026-03-21,BLINKIT GROCERIES,4404
2026-03-24,APOLLO PHARMACY,861
2026-07-16,ONLINE LEARNING,4082
2026-07-17,AMAZON SHOPPING,3202
2026-05-22,BIGBASKET,895
2026-04-15,IRCTC TRAIN TICKET,9848
2026-06-27,FLIPKART ORDER,6575
2026-02-05,GOOGLE ONE STORAGE,314
2026-01-21,COURSERA COURSE,3030
2026-03-21,MAKEMYTRIP,12480
2026-01-10,AMAZON PRIME,299
2026-08-07,YOUTUBE PREMIUM,947
2026-07-16,HP FUEL STATION,607
2026-07-02,WATER BILL PAYMENT,567
2026-04-26,MAKEMYTRIP,1813
2026-06-14,APOLLO PHARMACY,1937
2026-04-22,NETFLIX SUBSCRIPTION,750
2026-02-09,AMAZON PRIME,299
2026-04-03,APOLLO PHARMACY,3751
2026-05-25,ZOMATO FOOD ORDER,413
2026-08-13,SPOTIFY SUBSCRIPTION,119
2026-01-06,UBER TRIP,732
2026-03-17,FLIPKART ORDER,1564
2026-03-03,AIR INDIA TICKET,11068
2026-03-06,STEAM GAMES,1876
2026-05-18,SUBWAY,1060
2026-06-13,GOOGLE ONE STORAGE,130
2026-07-11,AIR INDIA TICKET,10968
2026-05-10,STEAM GAMES,432
2026-07-23,CLINIC CONSULTATION,2680
2026-06-23,INDIAN OIL FUEL,553
2026-04-17,ACT FIBERNET,1369
2026-02-04,UBER TRIP,974
2026-04-22,AIR INDIA TICKET,8416
2026-01-19,LOCAL RESTAURANT,796
2026-01-20,MUSIC CONCERT,962
2026-08-07,BOOKSTORE PURCHASE,2940
2026-01-01,SUBWAY,1013
2026-01-30,BOOKING HOTEL,1252
2026-05-11,CLINIC CONSULTATION,1950
2026-01-30,MUSIC CONCERT,1335
2026-08-28,PHARMACY PURCHASE,4742
2026-05-21,BOOKSTORE PURCHASE,3626
2026-05-01,NETFLIX SUBSCRIPTION,627
2026-01-14,COURSERA COURSE,2348
2026-07-06,DMART GROCERIES,3548
2026-03-10,STEAM GAMES,2229
2026-07-23,ACT FIBERNET,745
2026-04-28,MCDONALDS,158
2026-06-23,DOMINOS PIZZA,1299
2026-03-14,METRO CARD RECHARGE,1290
2026-02-07,GOOGLE ONE STORAGE,1280
2026-03-09,RELIANCE SMART,1978
2026-01-17,COURSERA COURSE,5605
2026-06-16,BESCOM ELECTRICITY,1878
2026-05-01,STARBUCKS,702
2026-04-01,ACT FIBERNET,480
2026-01-30,PHARMACY PURCHASE,3544
2026-05-02,RAPIDO RIDE,1279
2026-02-15,TATA 1MG,3767
2026-02-16,BOOKMYSHOW,2041
2026-01-05,ARCADE ENTERTAINMENT,1632
2026-03-27,JIO MOBILE BILL,1362
2026-04-05,WATER BILL PAYMENT,1044
2026-02-16,BOOKMYSHOW,814
2026-01-24,INDIGO AIRLINES,6291
2026-03-06,AIR INDIA TICKET,5455
2026-07-21,UDEMY COURSE,714
2026-02-07,FLIPKART ORDER,1984
2026-06-16,IRCTC TRAIN TICKET,1628
2026-02-13,ARCADE ENTERTAINMENT,887
2026-05-09,BOOKING HOTEL,9497
2026-08-01,COURSERA COURSE,862
2026-05-16,AMAZON PRIME,1282
2026-01-28,GOOGLE ONE STORAGE,1364
2026-06-14,UDEMY COURSE,987
2026-08-12,BIGBASKET,3146
2026-01-18,RAPIDO RIDE,923
2026-06-28,STEAM GAMES,1798
2026-06-05,AMAZON PRIME,299
2026-03-15,STEAM GAMES,2013
2026-04-27,MAKEMYTRIP,7167
2026-02-09,ARCADE ENTERTAINMENT,2143
2026-08-04,AIR INDIA TICKET,11933
2026-03-08,AMAZON PRIME,299
2026-03-21,COURSERA COURSE,3165
2026-01-07,ARCADE ENTERTAINMENT,2430
2026-08-24,DECATHLON,8989
2026-02-19,NETFLIX SUBSCRIPTION,658
2026-06-03,PVR CINEMAS,1328
2026-07-04,JIO MOBILE BILL,744
2026-06-12,AMAZON SHOPPING,8663
2026-07-14,MUSIC CONCERT,2424
2026-02-03,BOOKMYSHOW,972
2026-01-25,CLINIC CONSULTATION,1759
2026-04-06,DOMINOS PIZZA,854
2026-08-15,BIGBASKET,3645
2026-03-24,MCDONALDS,1624
2026-04-26,MAKEMYTRIP,7846
2026-07-24,FLIPKART ORDER,4406
2026-07-15,OLA RIDE,805
2026-02-27,HP FUEL STATION,675
2026-02-01,WATER BILL PAYMENT,2235
2026-02-06,CLINIC CONSULTATION,3958
2026-07-20,AMAZON SHOPPING,7992
2026-02-10,PHARMACY PURCHASE,4677
2026-08-07,PVR CINEMAS,618
2026-07-19,AMAZON SHOPPING,2046
2026-07-20,UDEMY COURSE,6257
2026-08-21,AIR INDIA TICKET,14408
2026-05-28,BESCOM ELECTRICITY,674
2026-03-06,ACT FIBERNET,2251
2026-07-22,AIR INDIA TICKET,11342
2026-02-26,COURSERA COURSE,4299
2026-02-28,RELIANCE SMART,2604
2026-07-06,AMAZON PRIME,299
2026-08-24,ONLINE LEARNING,5949
2026-01-08,WATER BILL PAYMENT,2239
2026-03-10,SPOTIFY SUBSCRIPTION,119
2026-07-15,ACT FIBERNET,414
2026-05-31,RELIANCE SMART,3819
2026-03-05,BOOKSTORE PURCHASE,997
2026-06-03,CLINIC CONSULTATION,858
2026-06-30,ZOMATO FOOD ORDER,710
2026-02-09,STEAM GAMES,1288
2026-07-12,CLINIC CONSULTATION,2323
2026-03-16,MUSIC CONCERT,2074
2026-03-13,UBER TRIP,818
2026-03-12,AIRTEL MOBILE BILL,1871
2026-04-08,APOLLO PHARMACY,2143
2026-04-29,BOOKMYSHOW,1290
2026-04-30,NATURES BASKET,2035
2026-06-18,ARCADE ENTERTAINMENT,154
2026-01-16,SPOTIFY SUBSCRIPTION,1288
2026-06-02,DIAGNOSTIC LAB,4778
2026-03-01,INDIAN OIL FUEL,824
2026-01-10,NETFLIX SUBSCRIPTION,649
2026-06-28,COURSERA COURSE,1134
2026-06-14,BLINKIT GROCERIES,3126
2026-07-07,UDEMY COURSE,1001
2026-05-31,GOOGLE ONE STORAGE,1007
2026-07-29,IRCTC TRAIN TICKET,11742
2026-06-09,INDIAN OIL FUEL,780
2026-03-20,PHARMACY PURCHASE,3712
2026-03-23,BLINKIT GROCERIES,3363
2026-01-10,SPOTIFY SUBSCRIPTION,119
2026-01-16,JIO MOBILE BILL,542
2026-02-18,MAKEMYTRIP,7084
2026-02-17,CLINIC CONSULTATION,2991
2026-03-30,INDIAN OIL FUEL,273
2026-07-27,DIAGNOSTIC LAB,2478
2026-06-29,YOUTUBE PREMIUM,1369
2026-08-11,INDIGO AIRLINES,6239
2026-08-01,APOLLO PHARMACY,947
2026-06-27,BIGBASKET,1612
2026-06-05,BESCOM ELECTRICITY,937
2026-07-26,BOOKING HOTEL,10821
2026-01-10,GOOGLE ONE STORAGE,130
2026-06-24,ACT FIBERNET,297
2026-05-11,AMAZON PRIME,1390
2026-08-02,JIO MOBILE BILL,2044
2026-06-18,OLA RIDE,88
2026-07-02,ACT FIBERNET,2496
2026-04-13,ONLINE LEARNING,5080
2026-05-29,MYNTRA FASHION,2071
2026-06-25,WATER BILL PAYMENT,541
2026-03-30,AJIO SHOPPING,8235
2026-05-20,NETFLIX SUBSCRIPTION,901
2026-01-24,BOOKSTORE PURCHASE,511
2026-05-16,MAKEMYTRIP,5142
2026-01-21,UDEMY COURSE,5821
2026-08-30,METRO CARD RECHARGE,285
2026-03-27,AIRTEL MOBILE BILL,264
2026-02-11,SPOTIFY SUBSCRIPTION,119
2026-05-28,ACT FIBERNET,1731
2026-03-10,NETFLIX SUBSCRIPTION,649
2026-07-10,PVR CINEMAS,1453
2026-08-14,UBER TRIP,611
2026-06-27,JIO MOBILE BILL,1906
2026-03-25,STARBUCKS,1269
2026-07-19,BIGBASKET,3922
2026-08-13,SWIGGY FOOD ORDER,863
2026-02-24,YOUTUBE PREMIUM,518
2026-01-24,ARCADE ENTERTAINMENT,1648
2026-05-29,RAPIDO RIDE,1399
2026-03-21,SPOTIFY SUBSCRIPTION,906
2026-03-20,METRO CARD RECHARGE,756
2026-04-07,AMAZON PRIME,299
2026-05-06,STARBUCKS,783
2026-07-16,APOLLO PHARMACY,4563
2026-06-25,BESCOM ELECTRICITY,875
2026-01-12,OLA RIDE,90
2026-06-08,AMAZON SHOPPING,6567
2026-03-02,APOLLO PHARMACY,996
2026-03-11,ONLINE LEARNING,3692
2026-04-13,LOCAL RESTAURANT,766
2026-06-07,MUSIC CONCERT,862
2026-07-12,SPOTIFY SUBSCRIPTION,119
2026-03-03,JIO MOBILE BILL,1536
2026-05-10,BLINKIT GROCERIES,940
2026-01-12,HP FUEL STATION,182
2026-07-24,ARCADE ENTERTAINMENT,2386
2026-04-05,NETFLIX SUBSCRIPTION,649
2026-04-17,FLIPKART ORDER,1352
2026-01-19,BIGBASKET,4278
2026-06-01,IRCTC TRAIN TICKET,7255
2026-04-11,GOOGLE ONE STORAGE,130
2026-06-21,OLA RIDE,1009
2026-06-13,SPOTIFY SUBSCRIPTION,119
2026-05-23,AIR INDIA TICKET,1622
2026-07-28,YOUTUBE PREMIUM,1470
2026-06-02,GOOGLE ONE STORAGE,417
2026-02-16,BOOKSTORE PURCHASE,537
2026-03-22,EDUCATIONAL MATERIAL,4582
2026-07-09,EDUCATIONAL MATERIAL,6786
2026-05-17,NATURES BASKET,1651
2026-07-30,NETFLIX SUBSCRIPTION,1009
2026-01-22,GOOGLE ONE STORAGE,1370
2026-08-31,FLIPKART ORDER,8087
2026-08-21,AIR INDIA TICKET,8181
2026-04-05,APOLLO PHARMACY,666
2026-05-26,TATA 1MG,4006
2026-04-01,HP FUEL STATION,250
2026-05-31,EDUCATIONAL MATERIAL,2185
2026-08-31,DIAGNOSTIC LAB,2014
2026-08-07,RAPIDO RIDE,203
2026-02-26,LOCAL RESTAURANT,1083
2026-07-16,NATURES BASKET,2435
2026-07-15,JIO MOBILE BILL,812
2026-06-06,EDUCATIONAL MATERIAL,793
2026-04-12,AIRTEL MOBILE BILL,1153
2026-03-19,AMAZON SHOPPING,909
2026-06-17,BOOKSTORE PURCHASE,2041
